word,cluster_id
busy,2
woman,27
attractive,2
awake,1
concerned,7
ready,4
sleepy,1
sure,7
tired,9
asleep,1
confused,9
girl,17
afraid,7
anxious,4
available,3
clumsy,29
fine,2
friend,5
idea,16
interested,7
kid,16
mad,29
person,16
right,16
sorry,29
ashamed,29
beautiful,11
best,2
dancer,14
eager,4
guest,3
pregnant,17
proud,2
rag,24
welcome,3
well,2
wife,27
youth,3
angry,9
intent,16
tidy,2
sad,29
alone,8
anger,9
auntie,5
brave,2
bride,27
careful,7
center,8
chance,16
child,17
close,8
cool,2
daughter,5
dead,1
determined,16
envious,9
fool,29
free,3
frightened,9
future,3
happy,2
hungry,4
ill,1
important,2
impressed,7
last,8
lucky,2
maid,22
man,27
married,27
member,20
mother,5
nervous,9
old,8
overwhelmed,9
part,3
pretty,2
scared,9
small,3
stupid,29
tight,2
upset,9
vulnerable,7
weak,2
conscious,7
creature,24
grace,11
wrong,29
direct,3
present,3
good,2
whore,26
actress,14
aware,7
butterfly,24
cause,16
chopstick,10
clear,2
communist,3
concubine,27
content,3
crazy,29
criminal,3
critic,20
demon,16
depressed,9
dog,24
dress,6
exhausted,9
fan,16
fit,3
focus,16
full,3
girlfriend,27
heroine,15
lady,27
law,16
light,3
lot,16
name,16
new,3
numb,9
object,16
partner,20
piece,16
prop,16
prostitute,22
role,16
seed,8
sick,1
student,30
sunshine,28
sympathetic,9
tame,2
tiger,24
widow,27
killer,16
kind,16
naked,16
school,30
boy,17
brother,5
chinese,24
doll,17
dry,28
first,8
furious,9
nest,24
pale,18
perfect,2
place,8
round,8
teacher,30
way,16
door,16
easy,2
exception,16
party,3
private,3
self,3
slut,26
sort,16
statue,16
stiff,2
worker,20
assistant,20
cautious,7
cop,16
envy,11
long,8
people,16
shy,8
type,3
flower,11
husband,27
regular,3
unconscious,1
character,16
reluctant,4
slip,8
enough,16
servant,27
comfortable,2
gossip,3
headmistress,30
skill,16
supervisor,20
kinswoman,3
connection,16
adult,3
bad,2
mistress,27
deed,16
family,5
fluent,2
more,3
passenger,8
reason,16
secretary,20
short,8
speechless,9
spirit,11
thirsty,9
threat,16
vague,2
word,16
mess,16
mine,8
spy,3
favorite,3
mean,16
sister,5
correct,16
british,24
use,3
home,8
control,16
head,20
alert,1
contact,8
failure,16
fake,3
one,8
popular,3
rich,3
satisﬁed,3
much,16
problem,16
charm,11
thin,2
curt,9
stranger,16
uneasy,9
warm,28
faint,1
beauty,11
cousin,5
cross,8
furniture,3
goddaughter,5
passion,11
relative,8
baby,17
driver,8
ﬁne,2
dear,29
smart,2
accessory,3
early,8
recruit,8
representative,20
smooth,2
translator,8
vacant,3
night,8
stuff,16
abductor,23
artist,14
bell,1
blind,16
carp,24
chef,24
chief,20
day,8
dish,24
flaw,16
ghost,16
heavy,3
mixture,3
pearl,24
player,8
power,16
precious,11
singer,14
star,8
street,16
time,8
bent,16
blond,18
date,3
doctor,0
generous,2
shaky,2
unit,8
white,3
empty,3
gift,3
group,8
opposite,8
feature,3
master,3
mature,2
mimic,3
other,3
outgoing,3
relaxed,2
senior,8
show,3
single,8
tall,18
wet,28
world,16
cake,24
curse,16
target,8
match,8
companion,27
useful,2
bookkeeper,12
second,8
father,5
own,3
calm,9
clever,2
end,8
hard,2
homesick,19
marriage,27
moy,24
son,5
special,3
thing,16
uncomfortable,9
yen,31
american,24
blood,1
butt,16
case,16
champion,8
distance,8
double,8
guard,8
guide,3
hair,18
harsh,2
impatient,9
incapable,16
loathe,29
material,3
mix,3
murmur,1
slow,2
ticket,16
touch,16
ward,1
jumpy,9
being,3
french,24
version,3
whispering,1
giddy,9
lovely,11
red,3
risk,16
chill,28
roommate,27
aunt,5
bun,24
eagle,24
earring,24
embarrassment,16
follower,16
granddaughter,5
grandniece,25
interesting,2
itchy,9
marvel,11
nephew,5
niece,5
oval,21
plane,16
size,3
sour,2
uncle,5
affection,11
amusement,16
argument,16
captain,8
deﬁance,3
worry,7
dizzy,9
perfection,11
jumper,13
misery,16
month,8
prey,16
weary,9
regret,29
eyed,3
ship,8
patient,0
soul,11
timid,9
embodiment,16
employee,20
high,3
nurse,0
constant,1
nanny,27
prince,27
black,3
cook,24
infant,17
visitor,8
age,3
pride,11
sober,1
help,3
comatose,1
concern,7
distraught,9
irritable,9
reminder,16
elder,5
superior,2
associate,20
attraction,16
ride,16
silence,1
skirt,6
story,16
worth,3
bit,16
relation,16
